language,domain,pair_id,statement,label
en,science,science_water_freezing,Water freezes at 0 degrees Celsius at standard pressure.,1
en,science,science_water_freezing,Water freezes at 100 degrees Celsius at standard pressure.,0
en,science,science_water_boiling,Water boils at 100 degrees Celsius at standard pressure.,1
en,science,science_water_boiling,Water boils at 0 degrees Celsius at standard pressure.,0
en,science,science_earth_orbit,The Earth orbits the Sun.,1
en,science,science_earth_orbit,The Sun orbits the Earth.,0
en,science,science_moon_orbit,The Moon orbits the Earth.,1
en,science,science_moon_orbit,The Earth orbits the Moon.,0
en,science,science_human_oxygen,Humans need oxygen to survive.,1
en,science,science_human_oxygen,Humans need helium to survive.,0
en,science,science_photosynthesis,Plants use photosynthesis to convert light energy into chemical energy.,1
en,science,science_photosynthesis,Plants use photosynthesis to convert sound into gravity.,0
en,science,science_dna,DNA carries genetic information in living organisms.,1
en,science,science_dna,DNA carries electrical power in household wiring.,0
en,science,science_heart,The heart pumps blood through the body.,1
en,science,science_heart,The heart pumps air into the lungs.,0
en,science,science_brain,The brain is part of the nervous system.,1
en,science,science_brain,The brain is part of the digestive system.,0
en,science,science_electron_charge,Electrons have a negative electric charge.,1
en,science,science_electron_charge,Electrons have a positive electric charge.,0
en,science,science_proton_charge,Protons have a positive electric charge.,1
en,science,science_proton_charge,Protons have a negative electric charge.,0
en,science,science_triangle,A triangle has three sides.,1
en,science,science_triangle,A triangle has four sides.,0
en,science,science_square,A square has four equal sides.,1
en,science,science_square,A square has three equal sides.,0
en,science,science_sound,Sound travels through air as waves.,1
en,science,science_sound,Sound travels through air as solid cubes.,0
en,science,science_gravity,Gravity attracts masses toward each other.,1
en,science,science_gravity,Gravity makes masses repel each other.,0
en,science,science_largest_ocean,The Pacific Ocean is the largest ocean on Earth.,1
en,science,science_largest_ocean,The Arctic Ocean is the largest ocean on Earth.,0
en,science,science_red_planet,Mars is often called the Red Planet.,1
en,science,science_red_planet,Venus is often called the Red Planet.,0
en,science,science_largest_planet,Jupiter is the largest planet in the Solar System.,1
en,science,science_largest_planet,Mercury is the largest planet in the Solar System.,0
en,science,science_closest_planet,Mercury is the closest planet to the Sun.,1
en,science,science_closest_planet,Neptune is the closest planet to the Sun.,0
en,science,science_saturn_rings,Saturn has prominent rings.,1
en,science,science_saturn_rings,Mercury has prominent rings.,0
en,science,science_skeleton,The human skeleton contains bones.,1
en,science,science_skeleton,The human skeleton contains feathers.,0
en,science,science_mammals,Mammals are warm-blooded vertebrates.,1
en,science,science_mammals,Mammals are cold-blooded plants.,0
en,science,science_birds,Birds usually have feathers.,1
en,science,science_birds,Birds usually have scales instead of feathers.,0
en,science,science_fish,Fish live in water and breathe using gills.,1
en,science,science_fish,Fish live in fire and breathe using leaves.,0
en,science,science_carbon_dioxide,Carbon dioxide contains carbon and oxygen.,1
en,science,science_carbon_dioxide,Carbon dioxide contains gold and helium.,0
en,math,math_add_2_2,Two plus two equals four.,1
en,math,math_add_2_2,Two plus two equals five.,0
en,math,math_add_3_5,Three plus five equals eight.,1
en,math,math_add_3_5,Three plus five equals nine.,0
en,math,math_sub_7_4,Seven minus four equals three.,1
en,math,math_sub_7_4,Seven minus four equals two.,0
en,math,math_sub_9_6,Nine minus six equals three.,1
en,math,math_sub_9_6,Nine minus six equals four.,0
en,math,math_mul_6_7,Six times seven equals forty-two.,1
en,math,math_mul_6_7,Six times seven equals forty-one.,0
en,math,math_mul_8_8,Eight times eight equals sixty-four.,1
en,math,math_mul_8_8,Eight times eight equals sixty-three.,0
en,math,math_div_12_3,Twelve divided by three equals four.,1
en,math,math_div_12_3,Twelve divided by three equals five.,0
en,math,math_div_15_5,Fifteen divided by five equals three.,1
en,math,math_div_15_5,Fifteen divided by five equals four.,0
en,math,math_sqrt_9,The square root of nine is three.,1
en,math,math_sqrt_9,The square root of nine is four.,0
en,math,math_sqrt_16,The square root of sixteen is four.,1
en,math,math_sqrt_16,The square root of sixteen is five.,0
en,math,math_compare_10_7,Ten is greater than seven.,1
en,math,math_compare_10_7,Ten is less than seven.,0
en,math,math_compare_5_11,Five is less than eleven.,1
en,math,math_compare_5_11,Five is greater than eleven.,0
en,math,math_right_angle,A right angle measures ninety degrees.,1
en,math,math_right_angle,A right angle measures forty-five degrees.,0
en,math,math_circle_degrees,A full circle has 360 degrees.,1
en,math,math_circle_degrees,A full circle has 180 degrees.,0
en,math,math_prime,A prime number has exactly two positive divisors.,1
en,math,math_prime,A prime number has exactly three positive divisors.,0
en,math,math_two_prime,The number two is prime.,1
en,math,math_two_prime,The number two is composite.,0
en,math,math_nine_composite,The number nine is composite.,1
en,math,math_nine_composite,The number nine is prime.,0
en,math,math_zero_even,Zero is an even number.,1
en,math,math_zero_even,Zero is an odd number.,0
en,math,math_kilometer,One kilometer equals 1000 meters.,1
en,math,math_kilometer,One kilometer equals 100 meters.,0
en,math,math_hour,One hour contains 60 minutes.,1
en,math,math_hour,One hour contains 100 minutes.,0
